Heads of Receipts,TAX REVENUE,DIRECT TAXES,Corporation tax,Taxes on income,Estate duty,Interest tax,Wealth tax,Gift tax,Land revenue,Agricultural tax,Hotel receipts tax,Expenditure tax,Others,INDIRECT TAXES,Customs,Union excise duties,Service tax,State excise duty,Stamp & registration fees,General sales tax,Taxes on vehicle,Entertainment tax,Taxes on goods & passengers,Taxes & duty on electricity,Taxes on purchase of sugarcane (including cess on sugarcane),Others,NON-TAX REVENUE,Net contribution of public undertakings,Net contribution of departmental undertakings,Railways,Posts,Profits of RBI,Forests,Power projects,Irrigation projects (commercial) and Multipurpose river projects,Discount royalty on crude oil,Others,Dividends from non-depart- mental undertakings,Interest receipts,Fiscal Services,General Services,Social & Community Services,Economic Services,External grants,SELF-BALANCING ITEM,TRANSFER FROM FUNDS,ADJUSTMENT ON ACCOUNT OF DIFFERENCE IN FIGURES OF TRANSFERS,OTHER ADJUSTMENTS,TOTAL
2008-09 (BE),1039040.17,363437.24,226361,128765.3,0,0,325,0,4353.76,13.48,28.54,0,3590.16,675602.93,118930,137874,64460.9,41316.06,46373.69,214694.57,18492.06,1010.32,8915.48,10726.95,243.23,12565.67,132145.1,41435.45,16197.68,0,-1108.84,18445.4,-1180.84,-1021.5,-8113.15,6000.04,3176.57,25237.77,21929.08,121.4,20160.78,6552.94,40150.12,1795.33,0,4404.64,17696.73,0,1193286.64
2008-09 (R.E.),947659.91,346390.19,222000,108001.4,0,0,400,0,3947.35,22.27,28.29,8500,3490.88,601269.72,108000,108359,65000.9,40966.5,40155.18,196040.27,15988.24,989.09,8208.41,8444.21,513.6,8604.32,135167.7,35380.17,13271.88,0,-3950.51,18095.25,-988.54,-2363.41,-9637.06,9398.23,2717.92,22108.29,24955.75,138.13,27126.02,7062.21,37757.41,2748.01,0,4999.97,32921.21,0,1120748.79
2008-09 ,915449.99,327981.3,213395.44,106074.9,0.58,8.62,389.24,1.21,4341.01,1604.36,39.68,17.51,2108.75,587468.69,99878.86,108612.78,60940.99,42688.27,35108.01,190816.72,15362.49,1086,8312.61,7165.73,729.44,16766.79,136971.95,34433.31,13791.69,0,-3593.1,18784.82,-730.9,-3706.89,-8068.48,8367.59,2738.65,20641.62,26908.78,58.88,28467.89,7663.97,36644.99,2794.13,0,4841.36,-4592.98,0,1052670.32
2009-10 (B.E.),996883.95,372060.92,256725,106801.5,0,0,425,0,4102.59,33.54,40.51,0,3932.78,624823.03,98000,106477,65000.9,47914.92,42433.85,218026.57,17878.56,1079.43,9294.22,9338.56,666.02,8713,173403.07,38482.08,16840.42,0,-5588.76,28600.38,-1286.27,-4703.31,-10166.15,7308.76,2675.77,21641.66,22399.14,148.37,27281.98,7109.35,75845.95,2136.2,0,5945.31,34261.5,0,1210493.83
2009-10 (R.E.),987509.75,388277.94,255076,124991.5,0,0,511,0,3677.27,1589.47,41.33,0,2391.37,599231.81,84477,102000,58000.9,49713.77,38242.9,210153.8,17708.09,1041.4,9023.36,10343.16,8717.42,9810.01,159562.39,37785.94,14450.02,0,-5572.13,29131.42,-1651.93,-5021.2,-11124.58,8028.4,660.04,23335.92,27458.86,149.04,38205.95,8597.22,44287.79,3077.59,0,6705.84,29939.76,0,1183717.74
2009-10 ,1000843.73,376994.95,244725.07,122417.24,0.23,3.62,504.93,0.97,5133.68,123.65,44.23,-62.04,4103.37,623848.78,83323.71,102991.37,58422.15,50391.31,40607.03,231460.92,19532.06,1160.46,9810.02,12234.68,329.27,13585.8,163173.9,46475.29,24479.39,-,-6641.31,29085.91,-2310,245.76,-10124.34,10264.29,3959.08,21995.9,28804.55,113.24,33336.42,9821.76,41481.19,3141.45,-,2633.44,8793.09,-,1175444.16
2010-11 (B.E.),1160267.14,431781.22,301331,120568.67,0,0,603,0,4852.95,1689.39,46.68,0,2689.53,728485.92,115000,132000,68000.9,57782.2,44600.06,248119.45,20507.41,1288.12,10373.02,10812.08,9861.11,10141.57,204591.66,39413.5,14815.93,0,-3909.89,27461.42,-1812.03,-3078.86,-12373.7,7124.65,1404.34,24597.57,28349.49,132.3,35226.46,11471.57,87938.17,2060.17,0,8839.51,6945.77,0,1380644.08
2010-11 (R.E.),1263268.48,450092.9,296377,141569,-,-,557,-,6868.79,134.36,47.74,-,4539.01,813175.58,131800,137262.52,69400.02,60311.76,53771.67,296240.13,23556.81,1181.56,11300.74,16564.68,361.69,11424,272607.28,38724.75,12036.94,-,-5925.51,22748.66,-2938.82,-1423.99,-12803.03,7124.65,5254.98,26687.81,29549.98,192.89,31299.24,13040.33,157044.46,2755.63,-,2798.97,32936.62,-,1571611.35
2010-11 ,1271665.35,450822.09,298687.89,139102.2,0.24,3.74,686.83,0.38,7539.37,173.36,56.41,29.07,4542.6,820843.26,135812.51,137700.94,71015.91,61697.55,54239.17,293256.33,25095.32,1244.41,11308.62,17422.48,192.32,11857.7,266926.13,39034.08,14282.53,0,-6345.62,23931.96,-2918.24,-4017.86,-11781.2,8903.59,6509.9,24751.55,28612.92,83.88,28755.29,12662.49,155104.78,2672.69,0,1670.85,8161.6,0,1548423.93
2011-12 (B.E.),1494498.17,538083.08,359990,164529.11,-,-,635,-,7639.65,142.77,60.31,-,5086.24,956415.09,151700,163549.66,82000,73115.85,64739.81,350874.15,28954.42,1577.92,11667.63,16083.57,380.69,11771.39,177274.35,33371.64,9192.45,-,-5249.32,19129.21,-2948.06,-1257.67,-14650.71,8171.51,5997.49,24179.19,25967.76,127.82,30221.39,16455.7,68957.08,2172.96,-,2552.54,25164.62,-,1699489.68
2011-12 (R.E.),1475032.29,507888.09,327680,166682.11,-,-,1092,-,7316.77,148.4,63.3,0,4905.51,967144.2,153000,150074.59,95000.01,74085.09,65293.27,358570.67,28807.53,1362.37,12671.57,17036.1,167.43,11075.57,178693.09,39436.14,10290.81,0,-5634.71,22035.49,-3546.78,-4591.63,-15711.98,11460.04,6280.38,29145.33,30839.49,84.42,27071.29,18182.44,59602.72,3476.59,0,2753.64,48372.75,0,1704851.77
2011-12 ,1467890.43,501394.92,322816.17,164525.33,0.48,2.57,786.67,0.99,7081.23,151.69,69.74,20.68,5939.37,966495.51,149327.5,144900.97,97508.96,75124.94,66825.67,361332.48,29988.08,1920.22,11680.59,17300.01,269.4,10316.69,174831.76,44074.22,14549.11,0,-5805.92,22118.18,-2927.65,-5235.99,-12801.6,12298.47,6903.62,29525.11,34927.99,89.38,22092.72,13982.04,56703.07,2962.34,0,-,8123.58,0,1650845.77
2012-13 (B.E.),1751123.51,578364.02,373227,189869.11,-,-,1244,-,8232.78,159.08,74.02,0,5558.03,1172759.49,186694,193729.34,124000,86808.67,77593.86,423263.31,34284.52,1584.18,14730.93,18436.37,189.62,11444.69,226891.32,40270.45,12147.14,0,-5903.51,22974.3,-643.42,-5188.52,-17619.96,12321.85,6206.4,28123.31,29757.98,84.32,31352.63,20980.49,101558.25,2887.2,0,2726.04,49637.38,0,2030378.25
2012-13 (R.E.),1726548.53,574680.54,358874,199933.1,0,0,866,0,9115.32,127.78,73.64,0,5690.7,1151867.99,164853,171315.09,132697.05,88960.79,78813.51,429977.07,35190.42,1800.27,16477.36,20234.32,266.79,11282.32,153459.22,7888.81,-23610.68,0,-5926.29,25446.75,-3972.31,-46339.65,-15922.17,12872.62,10230.37,31499.49,28266.34,57.61,32736.32,21031.79,60716.73,2761.62,0,-,81206.75,0,1961214.5
